pattern: _____*_____
theta: [[-0.379864,-0.202684,-0.478287,-0.369776],[-0.0582261,-1.74361,-1.57254,-2.27072],[-1.92907,-2.15562,-0.111083,-1.87084],[-0.720146,-2.11838,-0.771795,-2.35221],[-2.26907,-2.29087,-1.51202,-0.0529542],[-1.60336,-0.789441,-2.40985,-0.944501],[-1.60082,-0.923365,-1.55718,-1.74375],[-1.80746,-1.21661,-1.66878,-1.20067],[-1.58101,-1.27082,-1.35578,-1.6654],[-1.61938,-1.02135,-1.53654,-1.66745],[-1.03183,-1.21735,-2.152,-1.45427]]
exp-theta: [[0.683954,0.816537,0.619844,0.690889],[0.943437,0.174889,0.207517,0.103238],[0.145284,0.115832,0.894865,0.153994],[0.486681,0.120226,0.462183,0.0951588],[0.103409,0.101178,0.220465,0.948423],[0.201219,0.454098,0.0898289,0.388874],[0.201732,0.39718,0.210728,0.174863],[0.16407,0.296234,0.188478,0.300992],[0.205766,0.280602,0.257747,0.189116],[0.198022,0.360107,0.215124,0.188727],[0.356353,0.296013,0.116251,0.23357]]
ene-param: ~T2004~
max-span: 50
max-internal-loop: 30
theta-softmax: 0
rho-theta: 0.1
rho-lambda: 0.1
tau: 0.1
lambda: [0,0]
lambda-prior: 0
min-bpp: 0.0001
no-rss: 1
no-profile: 0
no-energy: 0
