pattern: ...(.*...).
theta: [[0.381409,-0.706042,-0.813569,-0.291845],[0.151435,-1.04345,-0.72981,-1.47546],[-1.39447,-1.03354,-0.859487,0.0428558],[-0.0689337,-0.898995,-0.458908,-1.44863],[-0.957207,-0.508905,-0.442424,-0.957689],[-1.23371,-0.334657,-1.60858,-0.253581],[0.208846,-0.871192,-0.76735,-1.70753],[-1.35637,-0.279614,-0.743167,-0.992947],[-0.198996,-0.66916,-0.230994,0.867973,-0.382537,1.12608],[-0.691919,-1.24398,-1.34437,0.456038]]
exp-theta: [[1.46435,0.493594,0.443273,0.746884],[1.1635,0.352237,0.482,0.228673],[0.247964,0.355746,0.423379,1.04379],[0.933389,0.406979,0.631973,0.234892],[0.383964,0.601154,0.642477,0.383779],[0.291211,0.715584,0.200171,0.776017],[1.23226,0.418453,0.464242,0.181313],[0.257595,0.756075,0.475605,0.370483],[0.819553,0.512139,0.793744,2.38208,0.682129,3.08353],[0.500615,0.288235,0.260704,1.57781]]
ene-param: ~T2004~
max-span: 50
max-internal-loop: 30
theta-softmax: 0
rho-theta: 0.1
rho-lambda: 0.1
tau: 0.1
lambda: [0.167714,0.177365]
lambda-prior: 0
min-bpp: 0.0001
no-rss: 0
no-profile: 0
no-energy: 0
