pattern: ...(.*..)..
theta: [[0.114337,0.737683,-0.653406,-0.434107],[-1.01112,-0.189878,0.0303537,-1.28126],[-0.016687,-0.310703,-2.37386,-0.268916],[-0.320516,-0.465393,-1.25201,-0.926826],[-0.956019,-0.0367105,0.292113,-1.71621],[-0.90227,-0.897334,0.645963,-1.89827],[-0.520847,0.391794,-1.99549,-0.839789],[-1.29786,-1.20589,-1.17458,-0.412652,-0.603253,1.02932],[-1.33813,0.7173,-2.27088,-0.184189],[-0.591727,0.309083,-0.0941998,-1.96279]]
exp-theta: [[1.12113,2.09109,0.520271,0.647843],[0.363813,0.82706,1.03082,0.277687],[0.983451,0.732932,0.0931203,0.764208],[0.725774,0.627888,0.28593,0.395808],[0.38442,0.963955,1.33925,0.179745],[0.405648,0.407655,1.90782,0.149827],[0.594017,1.47963,0.135947,0.431802],[0.273116,0.299425,0.30895,0.661893,0.547029,2.79916],[0.262335,2.04889,0.103222,0.831778],[0.553371,1.36217,0.910101,0.140466]]
ene-param: ~T2004~
max-span: 50
max-internal-loop: 30
theta-softmax: 0
rho-theta: 0.1
rho-lambda: 0.1
tau: 0.1
lambda: [0.166098,0.165292]
lambda-prior: 0
min-bpp: 0.0001
no-rss: 0
no-profile: 0
no-energy: 0
